"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-23","6.93","0.00",,"68","46","   40","  350","16.1","23.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-24","3.58","0.00",,"68","45","  310","  220","8.9","13.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-25","5.82","0.00",,"64","46","  280","  260","18.1","21.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-26","6.26","0.00",,"62","48","  250","  240","19.9","30.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-27","6.71","0.00",,"62","43","  300","  270","15.0","19.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-28","6.04","0.00",,"65","40","  270","  280","15.0","17.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-02-29","14.32","0.14",,"61","49","  200","  230","29.1","40.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-01","19.24","0.47",,"58","50","  210","  250","32.0","46.1","    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-02","17.22","0.35",,"55","45","  300","  270","38.0","53.0","    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-03","9.62","0.39",,"54","45","  300","  300","35.1","40.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-04","6.26","0.02",,"57","45","  210","  220","15.0","19.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-05","8.95","0.00",,"61","50","  160","  160","16.1","19.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-06","6.49","0.02",,"61","48","  280","  280","17.0","19.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-07","6.49","0.00",,"61","46","  280","  270","17.0","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-08","6.71","0.00",,"63","41","  290","  300","15.0","25.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-09","6.49","0.00",,"60","47","  260","  260","14.1","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-10","6.71","0.01",,"61","47","  210","  170","18.1","23.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-11","7.61","0.11",,"64","47","  160","  160","18.1","21.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-12","10.51","0.08",,"62","50","  280","  310","23.0","33.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-13","8.50","0.00",,"63","45","  300","  310","21.0","35.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-14","14.76","0.00",,"69","54","   40","   40","33.1","45.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-15","11.18","0.00",,"74","52","   40","   50","36.0","47.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-16","7.16","0.00",,"67","45","  290","  300","17.0","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-17","7.16","0.00",,"64","47","  280","  250","16.1","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-18","8.05","0.00",,"65","50","  280","  290","15.0","18.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-19","8.05","0.00",,"65","52","  280","  300","18.1","31.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-20","7.61","0.00",,"64","49","  280","  290","19.9","31.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-21","5.37","0.00",,"65","52","  300","  260","14.1","19.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-22","9.84","0.34",,"67","52","  270","  290","25.1","34.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-23","13.87","0.23",,"60","50","  280","  300","23.9","33.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-24","14.09","0.11",,"62","50","  300","  280","32.0","40.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-25","12.75","0.00",,"61","47","  300","  270","29.1","36.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-26","10.74","0.00",,"60","50","  290","  300","23.9","33.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-27","10.51","0.18",,"59","50","  200","  190","18.1","25.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-28","8.95","0.00",,"61","51","  270","  290","17.0","29.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-29","13.42","0.49",,"55","48","  140","  140","35.1","61.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-30","7.38","0.00",,"65","44","   50","   60","18.1","30.0",,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-03-31","6.93","0.00",,"63","47","  270","  300","18.1","30.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-01","5.82","0.00",,"69","44","  280","  230","16.1","21.0",,,,"    1"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-02","7.83","0.00",,"68","47","  300","  300","17.0","21.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-03","14.32","0.00",,"59","50","  300","  280","36.0","46.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-04","11.41","0.60",,"55","42","  220","  230","25.1","38.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-05","10.07","0.00",,"58","39","  300","  280","33.1","42.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-06","8.50","0.00",,"59","40","  280","  240","18.1","23.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-07","7.83","0.00",,"62","40","  290","  310","19.9","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-08","6.26","0.00",,"66","42","  280","  300","18.1","30.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-09","6.93","0.00",,"70","46","  300","  310","16.1","19.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-10","5.37","0.00",,"74","48","  310","  310","13.0","16.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-11","7.61","0.00",,"72","51","  290","  310","18.1","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-12","15.21","0.00",,"62","50","  200","  240","25.1","34.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-13","14.54","0.41",,"58","47","  180","  140","28.0","40.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-14","9.62","0.06",,"60","45","  290","  280","25.1","33.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-15","5.59","0.00",,"63","51","  280","  290","16.1","19.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-16","6.26","0.00",,"71","48","  290","  290","16.1","19.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-17","6.04","0.00",,"75","51","  310","  310","14.1","18.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-18","8.50","0.00",,"70","52","  300","  310","21.9","34.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-19","8.50","0.00",,"63","51","  300","  310","18.1","33.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-20","8.50","0.00",,"66","51","  280","  280","15.0","19.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-21","6.71","0.00",,"73","51","  290","  300","17.0","19.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-22","9.40","0.00",,"69","53","  310","  310","19.9","34.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-23","14.32","0.00",,"64","56","  230","  230","21.0","30.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-24","9.62","0.00",,"64","53","  280","  270","17.0","23.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-25","15.66","0.00",,"64","53","  290","  280","32.0","42.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-26","19.69","0.00",,"66","53","  300","  280","38.0","47.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-27","8.05","0.00",,"65","47","  270","  300","21.0","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-28","11.41","0.00",,"66","49","  290","  280","30.0","36.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-29","8.50","0.00",,"68","48","  290","  310","23.9","34.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-04-30","7.16","0.00",,"67","47","  260","  250","17.0","25.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-01","8.05","0.00",,"73","47","  270","  260","19.9","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-02","7.83","0.00",,"68","49","  270","  300","18.1","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-03","10.74","0.00",,"68","52","  290","  270","31.1","40.9","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-04","16.55","0.73",,"56","49","  290","  280","38.0","47.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-05","15.43","0.00",,"62","48","  290","  280","29.1","38.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-06","9.84","0.00",,"64","43","  290","  270","25.9","36.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-07","8.05","0.00",,"68","45","  280","  320","18.1","36.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-08","7.83","0.00",,"81","47","   30","  330","21.0","36.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-09","8.95","0.00",,"85","56","   40","   40","21.9","36.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-10","5.37","0.00",,"81","53","  290","  300","15.0","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-11","8.95","0.00",,"70","53","  290","  310","18.1","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-12","9.84","0.00",,"64","52","  280","  300","18.1","30.0",,,,"    1"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-13","10.51","0.00",,"62","51","  290","  310","19.9","35.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-14","9.84","0.00",,"66","52","  300","  320","25.9","38.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-15","9.40","0.00",,"64","53","  300","  320","21.9","36.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-16","10.51","0.00",,"68","55","  290","  310","21.0","34.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-17","9.17","0.00",,"66","53","  260","  310","21.0","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-18","9.62","0.00",,"67","54","  290","  310","23.9","35.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-19","9.62","0.00",,"66","53","  230","  300","18.1","31.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-20","8.95","0.00",,"68","51","  230","  230","17.0","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-21","7.83","0.00",,"73","49","  290","  310","19.9","32.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-22","8.28","0.00",,"68","51","  250","  290","19.9","30.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-23","7.38","0.00",,"66","50","  260","  260","19.9","33.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-24","15.43","0.00",,"57","51","  270","  290","25.9","36.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-25","13.87","0.00",,"62","52","  250","  260","21.0","32.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-26","8.50","0.00",,"67","51","  280","  290","17.0","21.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-27","10.51","0.00",,"63","52","  280","  310","18.1","30.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-28","10.07","0.00",,"65","52","  280","  300","19.9","31.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-29","6.93","0.00",,"75","50","  280","  300","18.1","35.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-30","6.71","0.00",,"75","51","  300","  300","17.0","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-05-31","10.51","0.00",,"73","54","  300","  290","29.1","38.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-01","14.99","0.00",,"63","53","  250","  290","21.9","36.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-02","11.18","0.00",,"66","54","  280","  300","21.0","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-03","11.41","0.00",,"70","55","  270","  270","30.0","42.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-04","6.93","0.00",,"79","54","  290","  300","18.1","30.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-05","8.05","0.00",,"83","59","  290","  290","16.1","19.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-06","10.51","0.00",,"67","54","  290","  320","23.0","34.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-07","9.62","0.00",,"70","53","  280","  300","23.9","34.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-08","11.41","0.00",,"66","55","  280","  300","19.9","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-09","11.41","0.00",,"66","55","  270","  310","18.1","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-10","9.62","0.00",,"69","54","  290","  310","21.0","34.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-11","7.83","0.00",,"85","53","  280","  290","17.0","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-12","6.93","0.00",,"71","56","  310","  320","17.0","33.1","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-13","9.17","0.00",,"65","55","  280","  300","19.9","33.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-14","11.63","0.00",,"69","56","  270","  290","25.1","35.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-15","8.72","0.00",,"75","56","  270","  290","19.9","30.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-16","9.40","0.00",,"74","53","  300","  280","28.0","36.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-17","9.84","0.00",,"79","56","  290","  300","25.1","34.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-18","8.28","0.00",,"77","55","  300","  310","21.0","35.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-19","11.41","0.00",,"64","52","  290","  310","23.0","33.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-20","9.84","0.00",,"64","54","  280","  300","19.9","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-21","10.96","0.00",,"70","54","  300","  290","30.0","36.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-22","7.61","0.00",,"76","55","  310","  300","16.1","19.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-23","11.41","0.00",,"71","56","  310","  310","25.1","38.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-24","8.28","0.00",,"79","53","  300","  300","17.0","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-25","11.18","0.00",,"75","55","  300","  300","19.9","35.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-26","11.41","0.00",,"68","56","  290","  300","19.9","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-27","9.40","0.00",,"69","54","  260","  250","17.0","23.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-28","7.61","0.00",,"75","54","  290","  290","17.0","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-29","8.05","0.00",,"73","55","  290","  310","23.0","35.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-06-30","6.49","0.00",,"75","58","  280","  290","18.1","34.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-01","7.61","0.00",,"78","57","  290","  280","18.1","21.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-02","5.37","0.00",,"93","58","  310","  310","16.1","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-03","6.71","0.00",,"94","62","  300","  320","17.0","25.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-04","7.16","0.00",,"84","61","  300","  310","17.0","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-05","8.50","0.00",,"80","57","  290","  300","18.1","30.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-06","8.28","0.00",,"81","59","  310","  300","17.0","21.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-07","11.41","0.00",,"73","59","  310","  310","17.0","21.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-08","10.74","0.00",,"72","58","  300","  320","29.1","36.0",,,,
